country,iso3,dimension,was_clamped,clamp_direction,clamp_adjustment,distance_from_lower,distance_from_upper
Bangladesh,BGD,D3,False,NONE,-0.35,26.3,4.29
Bangladesh,BGD,D4,False,NONE,0.25,28.98,24.05
Bulgaria,BGR,D1,False,NONE,0.18,3.92,8.49
Bulgaria,BGR,D2,False,NONE,-0.21,20.33,12.92
Bulgaria,BGR,D3,False,NONE,0.09,14.94,6.9
Bulgaria,BGR,D4,False,NONE,-0.14,7.38,22.39
Cameroon,CMR,D1,False,NONE,0.35,2.61,13.66
Cameroon,CMR,D2,False,NONE,3.37,23.05,9.49
Cameroon,CMR,D3,False,NONE,0.22,24.6,14.23
Cameroon,CMR,D4,False,NONE,-7.63,35.0,8.79
Cyprus,CYP,D1,False,NONE,-0.33,0.92,7.85
Cyprus,CYP,D2,False,NONE,-0.06,20.44,13.25
Cyprus,CYP,D3,False,NONE,0.0,21.74,14.49
Cyprus,CYP,D4,False,NONE,0.46,18.76,27.53
Estonia,EST,D1,False,NONE,0.39,15.22,9.31
Estonia,EST,D2,False,NONE,-0.19,9.23,35.02
Estonia,EST,D3,False,NONE,-0.42,22.39,13.34
Estonia,EST,D4,False,NONE,0.31,33.33,25.65
Ghana,GHA,D1,False,NONE,-0.3,0.83,15.25
Ghana,GHA,D2,False,NONE,-0.19,12.05,26.43
Ghana,GHA,D3,False,NONE,0.15,22.93,4.19
Ghana,GHA,D4,False,NONE,-0.04,12.87,19.57
Croatia,HRV,D1,False,NONE,-0.14,7.73,8.91
Croatia,HRV,D2,False,NONE,0.08,12.56,21.22
Croatia,HRV,D3,False,NONE,0.2,9.4,13.16
Croatia,HRV,D4,False,NONE,-0.37,0.87,21.83
Iraq,IRQ,D1,True,LOWER,2.0,0.96,14.92
Iraq,IRQ,D2,False,NONE,0.04,13.14,14.15
Iraq,IRQ,D3,False,NONE,-0.11,21.98,12.87
Iraq,IRQ,D4,False,NONE,0.17,23.47,25.81
Iceland,ISL,D1,False,NONE,0.49,9.77,17.0
Iceland,ISL,D2,False,NONE,-0.48,24.47,23.59
Iceland,ISL,D3,False,NONE,-0.06,16.47,29.58
Iceland,ISL,D4,False,NONE,0.15,39.0,2.77
Jamaica,JAM,D1,False,NONE,0.34,9.87,11.83
Jamaica,JAM,D2,False,NONE,0.33,37.71,9.05
Jamaica,JAM,D3,False,NONE,0.18,21.96,23.03
Jamaica,JAM,D4,False,NONE,0.06,21.39,21.98
Kyrgyzstan,KGZ,D1,False,NONE,-5.71,5.17,13.49
Kyrgyzstan,KGZ,D2,False,NONE,-0.43,19.89,16.12
Kyrgyzstan,KGZ,D3,False,NONE,6.91,30.04,18.27
Kyrgyzstan,KGZ,D4,False,NONE,-9.39,10.01,44.9
Kuwait,KWT,D1,True,LOWER,1.66,0.79,22.05
Kuwait,KWT,D2,True,UPPER,-1.54,33.38,0.69
Kuwait,KWT,D3,False,NONE,0.37,24.38,19.21
Kuwait,KWT,D4,False,NONE,-0.48,27.15,14.05
Lebanon,LBN,D1,False,NONE,0.14,1.7,14.76
Lebanon,LBN,D2,True,UPPER,-3.21,25.29,0.96
Lebanon,LBN,D3,False,NONE,-0.09,18.33,14.86
Lebanon,LBN,D4,False,NONE,-0.27,34.37,12.49
Libya,LBY,D1,False,NONE,-0.3,1.19,12.97
Libya,LBY,D2,False,NONE,0.34,12.79,18.35
Libya,LBY,D3,False,NONE,-0.49,24.02,9.68
Libya,LBY,D4,False,NONE,-0.14,18.52,37.51
Srilanka,LKA,D1,False,NONE,0.35,1.68,19.84
Srilanka,LKA,D2,False,NONE,0.0,19.52,22.16
Srilanka,LKA,D3,False,NONE,-0.01,24.16,3.27
Srilanka,LKA,D4,False,NONE,-0.3,33.0,14.5
Lithuania,LTU,D1,False,NONE,-0.33,11.51,14.89
Lithuania,LTU,D2,False,NONE,0.36,22.45,21.96
Lithuania,LTU,D3,False,NONE,-0.2,30.77,17.65
Lithuania,LTU,D4,False,NONE,-0.13,33.83,21.06
Latvia,LVA,D1,False,NONE,-0.5,14.14,4.54
Latvia,LVA,D2,False,NONE,0.19,16.46,10.69
Latvia,LVA,D3,False,NONE,0.08,11.28,9.37
Latvia,LVA,D4,True,UPPER,-1.17,27.0,0.22
Mozambique,MOZ,D1,False,NONE,0.29,3.02,19.58
Mozambique,MOZ,D2,False,NONE,0.14,9.81,26.56
Mozambique,MOZ,D3,False,NONE,-0.31,20.85,21.75
Mozambique,MOZ,D4,False,NONE,-0.05,19.63,37.21
Nicaragua,NIC,D1,True,LOWER,1.93,0.65,16.98
Nicaragua,NIC,D2,False,NONE,0.47,22.04,21.4
Nicaragua,NIC,D3,False,NONE,-0.18,32.86,27.21
Nicaragua,NIC,D4,False,NONE,-0.33,17.8,43.61
Norway,NOR,D1,False,NONE,0.47,1.61,15.89
Norway,NOR,D2,True,LOWER,3.9,0.87,25.62
Norway,NOR,D3,False,NONE,0.03,8.13,10.07
Norway,NOR,D4,False,NONE,-0.45,14.52,15.46
Nepal,NPL,D1,True,LOWER,1.01,0.48,15.15
Nepal,NPL,D2,False,NONE,-0.01,15.33,23.56
Nepal,NPL,D3,False,NONE,-0.38,20.61,9.89
Nepal,NPL,D4,False,NONE,0.3,9.45,26.37
Panama,PAN,D1,True,LOWER,1.93,0.15,24.53
Panama,PAN,D2,False,NONE,0.11,37.28,21.03
Panama,PAN,D3,False,NONE,0.32,15.74,25.56
Panama,PAN,D4,False,NONE,0.44,24.8,30.62
Puerto Rico,PRI,D1,True,LOWER,6.62,0.82,18.11
Puerto Rico,PRI,D2,False,NONE,0.28,19.59,8.21
Puerto Rico,PRI,D3,False,NONE,0.22,15.69,19.58
Puerto Rico,PRI,D4,False,NONE,-0.27,24.6,28.04
Saudi Arabia,SAU,D1,False,NONE,-0.33,2.45,21.91
Saudi Arabia,SAU,D2,False,NONE,0.27,8.38,26.08
Saudi Arabia,SAU,D3,True,UPPER,-1.6,32.88,0.66
